Event	ID	Name			Wwise Object Path	Notes
	826065011	Slime_Basic_Attack			\Default Work Unit\Slime_Basic_Attack	
	1041647507	Slime_Healed			\Default Work Unit\Slime_Healed	
	1251616711	Initialize_Music			\Default Work Unit\Initialize_Music	
	1429535468	Slime_Dead			\Default Work Unit\Slime_Dead	
	1809814649	Slime_Hurt			\Default Work Unit\Slime_Hurt	
	2002011469	Move_Forgotten			\Default Work Unit\Move_Forgotten	
	2052296799	State_Credits			\Default Work Unit\State_Credits	
	2118900976	UI_Hover			\Default Work Unit\UI_Hover	
	2249769530	UI_Click			\Default Work Unit\UI_Click	
	2574017140	State_Transit			\Default Work Unit\State_Transit	
	3816219269	State_Dead			\Default Work Unit\State_Dead	
	3900992838	State_Menu			\Default Work Unit\State_Menu	
	4122948419	State_Combat			\Default Work Unit\State_Combat	

Switch Group	ID	Name			Wwise Object Path	Notes
	3125687090	SlimeVoices			\Default Work Unit\SlimeVoices	

Switch	ID	Name	Switch Group			Notes
	3313685168	Voice3	SlimeVoices			
	3313685169	Voice2	SlimeVoices			
	3313685170	Voice1	SlimeVoices			
	3313685175	Voice4	SlimeVoices			

State Group	ID	Name			Wwise Object Path	Notes
	4091656514	GameState			\Default Work Unit\GameState	

State	ID	Name	State Group			Notes
	748895195	None	GameState			
	2044049779	Dead	GameState			
	2201105581	Credits	GameState			
	2208612570	Transit	GameState			
	2607556080	Menu	GameState			
	2764240573	Combat	GameState			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1006694123	Music_Volume			\Default Work Unit\Music_Volume	
	1564184899	SFX_Volume			\Default Work Unit\SFX_Volume	
	1924415737	Wwise_Sidechain			\Default Work Unit\Wwise_Sidechain	
	4179668880	Master_Volume			\Default Work Unit\Master_Volume	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	
	3991942870	Music			\Default Work Unit\Master Audio Bus\Music	

Effect plug-ins	ID	Name	Type				Notes
	59662939	Dialog_Too_Quiet	Wwise Compressor			
	418265525	Gentle_Program_Compressor_Minus_14dB_RMS	Wwise Compressor			
	432720209	New_Wwise_Meter_01	Wwise Meter			
	780838069	New_Wwise_Meter	Wwise Meter			
	3796564934	Hard_Knee_Minus_3dB_RMS	Wwise Compressor			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1406206	Slime2	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\Voice2-dead_2B92C234.wem		\Actor-Mixer Hierarchy\Default Work Unit\SlimeDeath\Slime2		384064
	51766611	Choir	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\Bridge-Choir1-95bpm_4-4_8M_D3BD6159.wem		\Interactive Music Hierarchy\Default Work Unit\Music_Switch\Battle\Bridge\Choir		4365540
	75462678	Voice3-3	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\Voice3-3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SlimeVoices\Slime3\Voice3-3		144064
	85603682	SlimeA4	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\SlimeA4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Slime\SlimeA\SlimeA4		192064
	107576255	Loop	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\slime game jam main menu track_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music_Switch\Menu\Loop\Loop		23284864
	119170021	Voice2-4	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\Voice2-4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SlimeVoices\Slime2\Voice2-4		192064
	127202362	Track1	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\Dead-Intro-80bpm_4-4_3M_F7AFB84C.wem		\Interactive Music Hierarchy\Default Work Unit\Music_Switch\Dead\Intro\Track1		1728064
	133734146	SlimeA2	A:\Users\Matt\Desktop\NEW-Slime\Slime-Game\Slime-Game_WwiseProject\.cache\Windows\SFX\SlimeA2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Slime\SlimeA\SlimeA2		336064
